AppID, DRM, EULA, Link,
,,,,
260291, None, None, None,
260292, None, None, None,
260293, None, None, None,
260430, None, None, None,
260990, Requires 3rd-Party Account:Odesi account (grants you access to the web version and the Windows + Mac companion apps), None, None,
261490, None, None, None,
261570, None, None, None,
262060, Requires agreement to a 3rd-party EULA, Darkest Dungeon EULA, http://store.steampowered.com//eula/262060_eula_0,
262100, Requires 3rd-Party Account:THD Account(Supports Linking to Steam Account), Requires agreement to a 3rd-party EULA, http://store.steampowered.com//eula/262100_eula_0,
262120, None, None, None,
262190, None, None, None,
262230, None, None, None,
262280, Incorporates 3rd-party DRM: Kalypso Launcher (Account registration optional), None, None,
262510, None, None, None,
262960, None, None, None,
263060, Requires agreement to a 3rd-party EULA, Blockstorm EULA, http://store.steampowered.com/eula/263060_eula_0,
263640, None, None, None,
263920, None, None, None,
263980, None, None, None,
264000, Requires agreement to a 3rd-party EULA, Son of Nor EULA, http://store.steampowered.com/eula/264000_eula_0,
264120, None, None, None,
265000, None, None, None,
265590, None, None, None,
265750, None, None, None,
265810, None, None, None,
265970, None, None, None,
266190, None, None, None,
266310, None, None, None,
266410, None, None, None,
266510, None, None, None,
266931, None, None, None,
267654, None, None, None,
267750, None, None, None,
267778, None, None, None,
267780, None, None, None,
267781, None, None, None,
267782, None, None, None,
267783, None, None, None,
267784, None, None, None,
267785, None, None, None,
267786, None, None, None,
267787, None, None, None,
268320, None, None, None,
268340, None, None, None,
268360, None, None, None,
268500, Requires agreement to a 3rd-party EULA, XCOM 2 EULA, http://store.steampowered.com//eula/268500_eula_0,
268614, None, None, None,
268870, None, None, None,
268970, None, None, None,
269170, Requires agreement to a 3rd-party EULA, Pool Nation VR  EULA, http://store.steampowered.com//eula/269170_eula_0,
269630, Requires agreement to a 3rd-party EULA, A Mass of Dead EULA, http://store.steampowered.com/eula/269630_eula_0,
269650, None, None, None,
269670, None, None, None,
269690, None, None, None,
269770, None, None, None,
269990, None, None, None,
270110, None, None, None,
270130, Requires agreement to a 3rd-party EULA, The Gallery - Episode 1: Call of the Starseed EULA, http://store.steampowered.com//eula/270130_eula_0,
270150, None, None, None,
270210, None, None, None,
270230, None, None, None,
270450, None, None, None,
